,difficulty,gaslimit,rate,gasprice,confirmtime
695,2.7021,21000,116.34,1.6,81
696,2.7021,21000,115.54,1.6,83
697,2.7021,21000,114.55,1.6,91
698,2.70397,21000,105.82,9,0
699,2.70397,90000,126.96,15,0
700,2.70397,60000,110.79,11.906,0
701,2.70397,60000,143.09,3.812,0
702,2.70397,21000,124.22,23,2
703,2.70397,21000,95.24,10,2
704,2.70397,36496,109.6,20,2
705,2.70397,60000,111.64,7,2
706,2.70397,75924,108.88,20,2
707,2.70397,21000,79.37,6,2
708,2.70397,114223,118.45,6.9,4
709,2.70397,50000,116.33,1,46
710,2.70397,50000,116.33,1,48
711,2.70397,50000,116.33,1,48
712,2.70397,50000,115.71,1,50
713,2.70397,50000,116.29,1,52
714,2.70397,90000,115.85,1.6,76
715,2.70584,36000,120.13,20,4
716,2.70584,150000,115.87,50,12
717,2.70584,36000,120.13,20,12
718,2.70584,150000,115.87,50,12
719,2.70584,25200,117.77,52.562,12
720,2.70584,150000,116.02,50,12
721,2.70584,150000,115.87,50,12
722,2.70375,60000,127.82,6,22
723,2.70375,21000,95.24,5,22
724,2.70375,250000,115.41,4,22
725,2.70375,79761,94.03,2,24
726,2.70375,1000000,115.26,4,28
727,2.70375,200000,150.28,2.24,28
728,2.70375,450000,116.22,10,28
729,2.70375,95105,118.27,11.4,28
730,2.70375,114223,118.45,6.9,28
731,2.70375,42000,115.69,2.4,28
732,2.70375,21000,126.98,15,28
733,2.70375,21000,115.77,3.2,30
734,2.70375,113263,120.88,11.4,30
735,2.70375,50000,95.24,10,43
736,2.70375,50000,95.24,5,43
737,2.70375,50000,95.24,10,43
738,2.70375,50000,95.24,5,45
739,2.70375,50000,95.24,10,45
740,2.70375,50000,95.24,10,45
741,2.70375,50000,95.24,5,48
742,2.70375,50000,95.24,10,62
743,2.70375,50000,95.24,5,64
744,2.70375,50000,95.24,10,64
745,2.70375,50000,95.24,10,66
746,2.70375,50000,95.24,5,68
747,2.70375,50000,95.24,10,68
748,2.69902,60000,143.65,6.63,1
749,2.69902,21000,102.04,14,1
750,2.69902,21000,119.05,20,1
751,2.69902,72000,117.06,7,1
752,2.69902,300004,111.45,15,1
753,2.69957,1000000,116.06,30,7
754,2.69957,250000,112.87,3,7
