,gaspricel1,difficulty,gaslimit,rate,confirmtime,transaction_count,size,reward,gasprice
160,1,2.70E+15,21000,111.11,2,48,23615,3.06,1.5
161,1.5,2.70E+15,50000,116.29,24,37,13808,3.03,1
162,1,2.70E+15,50000,115.53,330,60,19758,3.04,1.5
163,1.5,2.70E+15,21000,111.11,27,8,20917,3.1,9.1
164,9.1,2.70E+15,21000,119.05,27,103,27706,3.1,1
165,1,2.70E+15,1150000,116.25,9,69,24154,3.02,1.5
166,1.5,2.70E+15,21000,111.11,5,166,29974,3.22,2
167,2,2.70E+15,60000,118,7,74,11596,3.04,1
168,1,2.71E+15,21000,114.29,10,55,15875,3.14,1.5
169,1.5,2.71E+15,250000,89.32,10,14,12934,3.03,2
170,2,2.70E+15,1000000,116.37,19,39,15514,3.04,1.5
171,1.5,2.70E+15,21000,124.22,37,105,33797,3.16,3
172,3,2.69E+15,150000,116.02,54,78,27914,3.12,2
173,2,2.70E+15,21000,111.11,12,43,33380,3.12,3
174,3,2.69E+15,1000000,116.32,125,10,13716,3.04,2
175,2,2.69E+15,50000,95.24,15,52,19734,3.07,2
176,2,2.69E+15,126328,115.69,159,29,14250,3.02,1.5
177,1.5,2.69E+15,60000,115.89,26,87,24620,3.09,1.5
178,1.5,2.69E+15,21000,111.11,9,40,10026,3.06,20
179,20,2.68E+15,77706,96.52,65,44,25674,3.07,2
180,2,2.68E+15,50000,115.67,214,34,29810,3.05,1
181,1,2.68E+15,21000,111.11,44,10,6447,3.03,2
182,2,2.68E+15,233272,135.73,47,19,26879,3.07,1.7
183,1.7,2.68E+15,21000,111.11,49,22,20744,3.06,1.5
184,1.5,2.68E+15,21000,108.62,1276,1,20470,3.06,1
185,1,2.68E+15,6720000,120.56,2,6,2135,3.01,20
186,20,2.68E+15,70000,119.13,29,74,26626,3.06,1.5
187,1.5,2.68E+15,60000,128.64,10,57,29092,3.09,2
188,2,2.68E+15,21000,111.11,29,57,17697,3.26,3
189,3,2.68E+15,367603,110.36,41,10,10052,3.02,1.5
190,1.5,2.68E+15,50000,116.24,79,28,13417,3.02,1
191,1,2.68E+15,21000,115.5,14,62,27608,3.06,1.5
192,1.5,2.68E+15,21000,111.11,12,11,7576,3.04,1.5
193,1.5,2.68E+15,382510,104.58,21,1,10156,3.12,1.5
194,1.5,2.69E+15,21000,95.24,30,38,24956,3.1,2
195,2,2.69E+15,336004,115.53,45,1,18121,3.07,1.5
196,1.5,2.68E+15,100000,114.06,33,44,31416,3.14,2
197,2,2.68E+15,400000,116.62,20,46,16964,3.06,1.5
198,1.5,2.68E+15,21000,114.29,20,80,33039,3.16,3
199,3,2.68E+15,21000,116.29,25,16,21492,3.03,1.5
200,1.5,2.68E+15,45000,119.05,6,10,6197,3.04,29
201,29,2.68E+15,50000,95.24,18,18,27162,3.14,6
202,6,2.68E+15,77706,96.52,27,13,17765,3.02,1.3
203,1.3,2.68E+15,90000,116.38,22,15,15646,3.08,2
204,2,2.67E+15,70000,105.8,18,29,31018,3.16,5
205,5,2.67E+15,21000,111.11,26,10,26166,3.07,3
206,3,2.67E+15,21000,111.11,28,33,30318,3.2,10
207,10,2.67E+15,60000,100.18,6,39,19567,3.03,2
208,2,2.67E+15,21000,116.1,126,29,20811,3.04,2
209,2,2.67E+15,250000,109.9,17,6,15833,3.05,2
210,2,2.68E+15,132272,115.56,159,2,13981,3.03,1.6
211,1.6,2.68E+15,100000,116.29,43463,11,25090,3.14,1.5
212,1.5,2.68E+15,6000000,112.26,43680,1,8423,3.02,1.6
213,1.6,2.69E+15,80000,107.4,9,8,10709,3.03,3
214,3,2.69E+15,50000,116.33,36,29,22471,3.02,1
215,1,2.69E+15,90000,114.94,29,46,26400,3.2,1.7
216,1.7,2.70E+15,1000000,115.24,7,15,5049,3.11,2
217,2,2.70E+15,780000,117.42,6,14,11207,3.06,1.2
218,1.2,2.70E+15,780000,112.52,3,40,12433,3.15,1.51
219,1.51,2.70E+15,60000,115.89,8,9,9875,3.2,2
220,2,2.71E+15,179572,96.47,9,2,5893,3.04,1.6
221,1.6,2.71E+15,21000,95.24,9,30,14403,3.11,2
222,2,2.71E+15,132299,114.18,29,19,14787,3.07,2
223,2,2.71E+15,6720000,110.52,3,2,940,3,20
224,20,2.71E+15,210000,108.01,6,1,6398,3.05,17
225,17,2.71E+15,56826,131.76,31,35,29834,3.03,2
226,2,2.71E+15,21000,111.11,1,17,12079,3.07,20
227,20,2.71E+15,56826,131.76,50,13,27550,3.07,4
228,4,2.71E+15,78907,95.05,56,19,34620,3.04,2
229,2,2.71E+15,90000,115.82,126,3,20489,3.02,2
230,2,2.71E+15,250000,121.83,110,1,16487,3.03,1.5
231,1.5,2.71E+15,6720000,120.56,21,19,25390,3.05,3
232,3,2.71E+15,135963,109.87,86,60,29522,3.14,2
233,2,2.71E+15,53000,115.52,4,8,31534,3.03,1.938
234,1.938,2.71E+15,50000,116.29,106,11,31879,3.05,1
235,1,2.71E+15,21000,111.11,14,44,30233,3.11,3
236,3,2.71E+15,2000000,131.26,50,5,7597,3.02,1.5
237,1.5,2.71E+15,23100,119.05,5,18,14608,3.06,4.5
238,4.5,2.71E+15,21000,95.24,5,45,39858,3.17,10
239,10,2.70E+15,42000,105.42,7,50,27469,3.06,3
240,3,2.70E+15,21000,132.27,12,84,25935,3.06,1.5
241,1.5,2.70E+15,210000,113.72,22,31,32135,3.3,2
242,2,2.70E+15,21000,119.05,17,46,31211,3.21,2
243,2,2.70E+15,21000,126.98,4,23,4896,3.02,5
244,5,2.70E+15,21000,116.76,1,52,31406,3.02,1
245,1,2.71E+15,121962,84.44,34,5,2124,3.02,1.5
