,difficulty,gaslimit,gasused,gaspricel1,gaspricel2
8427,1879100000000000.0,8003881,7986531,10.0,10.0
4237,1947480000000000.0,7999955,7984088,1.0,1.0
4325,1951230000000000.0,7988300,7438137,10.0,17.0
1443,1950790000000000.0,8000029,7979667,1.0,0.1
5219,1914910000000000.0,7993406,7979693,10.0,20.0
4813,1951920000000000.0,8007779,8002266,40.0,40.0
1477,1942220000000000.0,8000029,3483364,1.0,1.0
8023,1879300000000000.0,8000029,7887319,1.0,10.0
1173,1916900000000000.0,8000029,7915228,1.0,100.0
5395,1924200000000000.0,7992222,4956094,10.0,10.0
5810,1909980000000000.0,8000029,7973848,10.0,10.0
3317,1893510000000000.0,7992222,7967426,10.0,10.0
8273,1885610000000000.0,8000029,7991505,10.0,10.0
5813,1910910000000000.0,8000029,1238459,10.0,10.0
7482,1993980000000000.0,8003865,7993506,0.1,10.0
2893,1949130000000000.0,8000029,5202053,10.0,1.0
2669,2004300000000000.0,8000029,1052040,1.0,1.0
279,1909840000000000.0,8000029,7979657,1.0,20.0
4983,1941390000000000.0,7984452,7968451,1.0,10.0
5282,1916760000000000.0,8000029,7960949,1.0,130.0
4793,1958630000000000.0,7999992,7992269,10.0,1.0
2571,2002390000000000.0,7984452,7965911,1.0,10.0
7061,1932820000000000.0,7999992,5941413,10.0,100.0
1101,1920690000000000.0,7992222,7984151,10.0,104.0
568,1903190000000000.0,8003878,7999355,1.0,1.0
1694,1952580000000000.0,8007502,7983545,1.0,0.1
5422,1929840000000000.0,7996033,1968084,1.0,1.0
7947,1894090000000000.0,8000029,7983769,10.0,104.0
4766,1966320000000000.0,8000029,7982124,1.0,10.0
7477,1990090000000000.0,8000029,4399394,1.0,1.0
6120,1926700000000000.0,8004373,8001011,1.0,1.0
577,1903180000000000.0,8000000,7980781,10.0,10.0
59,1901590000000000.0,7992222,7975755,10.0,1.0
787,1927420000000000.0,8000029,6051988,1.0,10.0
8108,1887550000000000.0,8003899,7983681,1.0,20.0
4595,1977980000000000.0,7992222,928077,1.0,10.0
3025,1949070000000000.0,8000029,7982377,1.0,1.0
6092,1926710000000000.0,8000029,7778291,10.0,1.0
5128,1929980000000000.0,8003881,7992596,1.0,10.0
7265,1956450000000000.0,8000029,7984082,1.0,10.0
5653,1925970000000000.0,7976645,7960766,10.0,10.0
3257,1902830000000000.0,8007784,8006145,10.0,10.0
5336,1905520000000000.0,8000029,6822967,10.0,1.0
8037,1882050000000000.0,8003849,7988502,10.0,10.0
3522,1893400000000000.0,7999992,4780611,10.0,1.0
335,1913550000000000.0,7992222,2336621,20.0,10.0
6974,1923440000000000.0,8003881,7989310,1.0,10.0
4505,1965510000000000.0,8003923,7995935,1.0,10.0
7886,1905250000000000.0,7968912,7949187,20.0,1.0
5193,1928070000000000.0,8000029,7990422,1.0,1.0
8072,1882950000000000.0,7996070,7327822,1.0,1.0
184,1901510000000000.0,7992148,5153956,10.0,0.001
5361,1913910000000000.0,7999992,7979189,1.0,10.0
8709,1881730000000000.0,8000000,7984623,10.0,1.0
420,1901380000000000.0,7999992,7905306,15.5,1.0
2350,1994680000000000.0,8000029,5852483,10.0,140.0
553,1899480000000000.0,8000029,7568308,20.0,10.0
1397,1951770000000000.0,8000029,7952845,1.0,1.0
1384,1953680000000000.0,8007822,7996269,1.0,1.0
6590,1923630000000000.0,8007826,7998842,10.0,10.0
5647,1927860000000000.0,7976696,7969107,1.0,1.0
1760,1946840000000000.0,8000029,5328773,10.0,15.0
7882,1902460000000000.0,7968912,7964494,0.5,10.0
297,1911690000000000.0,8003909,7989610,10.0,120.0
443,1906960000000000.0,7988943,7983043,10.0,1.0
777,1932140000000000.0,8000000,1573199,10.0,10.0
1119,1913180000000000.0,7996033,7934369,10.0,10.0
5730,1908140000000000.0,7992222,7981584,0.1,1.0
8442,1879090000000000.0,8000029,6806030,1.0,10.0
3404,1907400000000000.0,8000029,1493915,1.0,1.0
1921,1925950000000000.0,8000029,7982766,104.0,10.0
655,1911530000000000.0,8000000,7995635,1.0,10.0
2229,1988890000000000.0,7992222,2665512,1.0,10.0
4486,1956900000000000.0,8000000,7986334,10.0,1.0
2842,1958710000000000.0,7999955,100964,10.0,10.0
2537,1987790000000000.0,8000029,7985028,1.0,11.0001
3107,1951880000000000.0,8000029,7983141,10.0,1.0
6595,1926450000000000.0,8000029,7876541,10.0,10.0
2540,1990700000000000.0,7992222,5249852,0.1,100.0
3688,1891480000000000.0,7992222,7979460,1.0,1.0
8784,1877990000000000.0,8000029,7996118,1.0,10.0
2457,1982010000000000.0,8000029,7982238,10.0,10.0
2578,2002380000000000.0,7992222,7985813,10.0,20.0
7379,1965980000000000.0,7992222,5403636,10.0,1.0
5414,1929850000000000.0,7992993,7975789,10.0,1.0
8822,1893630000000000.0,8007779,8000875,10.0,10.0
2758,1972200000000000.0,7992222,3030729,10.0,13.0
7291,1949760000000000.0,7984452,7977484,120.0,0.1
3034,1949060000000000.0,7968801,7909441,1.0,1.0
558,1903190000000000.0,8000029,7991712,11.90625,10.0
8012,1882060000000000.0,8000029,7981241,10.0,20.0
1371,1946070000000000.0,8000029,7999487,20.0,120.0
8197,1902310000000000.0,7992222,7980530,10.0,10.0
907,1943440000000000.0,8000029,7971184,10.0,10.0
7631,1974530000000000.0,8000029,438228,10.0,1.0
1433,1952700000000000.0,8000029,7025113,10.0,1.0
7669,1950540000000000.0,8000029,4228743,1.0,10.0
7988,1885760000000000.0,8000029,7979465,100.0,1.0
3704,1892400000000000.0,7984452,4207555,10.0,10.0
7106,1927140000000000.0,7988299,7974912,20.0,1.0
4782,1966310000000000.0,7999992,5282606,100.0,10.0
